record_id,page_key,slot_id,family,page_type,sort_order,target_keyword,page_title,url_slug,approval_status,content_status,instruction_ref,instruction_in_control_table,inferred_parent_slot,coverage_class,flags
rec3jbYU9rlFoiICC,1dev-ai-coding-services/svc-cat01-10,svc-cat01-10,svc,SVC-CHILD,110,custom software architecture,Custom Software Architecture,custom-software-architecture,approved,todo,INS-SVC-CHILD,yes,svc-cat01-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recHbY60L0UHzc1xH,1dev-ai-coding-services/svc-cat02-hub,svc-cat02-hub,svc,SVC-HUB,200,web application development,Web Application Development,web-application-development,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recRmY4UUn7VJ1oWj,1dev-ai-coding-services/svc-cat02-01,svc-cat02-01,svc,SVC-CHILD,201,full-stack web applications,Full-Stack Web Applications,full-stack-web-applications,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recPKuPDjIDQPruHW,1dev-ai-coding-services/svc-cat02-02,svc-cat02-02,svc,SVC-CHILD,202,customer portals and dashboards,Customer Portals and Dashboards,customer-portals-and-dashboards,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recMKNLvKDScCTggb,1dev-ai-coding-services/svc-cat02-03,svc-cat02-03,svc,SVC-CHILD,203,progressive web apps,Progressive Web Apps,progressive-web-apps,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recVVn8bOQaLNArhW,1dev-ai-coding-services/svc-cat02-04,svc-cat02-04,svc,SVC-CHILD,204,admin consoles and back offices,Admin Consoles and Back Offices,admin-consoles-and-back-offices,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recOSSacoI56BPTIJ,1dev-ai-coding-services/svc-cat02-05,svc-cat02-05,svc,SVC-CHILD,205,authentication and user accounts,Authentication and User Accounts,authentication-and-user-accounts,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recPQUMKTCjcWbv8g,1dev-ai-coding-services/svc-cat02-06,svc-cat02-06,svc,SVC-CHILD,206,real-time web applications,Real-Time Web Applications,real-time-web-applications,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reced23dg12cdGcsy,1dev-ai-coding-services/svc-cat02-07,svc-cat02-07,svc,SVC-CHILD,207,e-commerce web applications,E-Commerce Web Applications,ecommerce-web-applications,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recFIgrPUc7NbBe3l,1dev-ai-coding-services/svc-cat02-08,svc-cat02-08,svc,SVC-CHILD,208,content-driven web platforms,Content-Driven Web Platforms,content-driven-web-platforms,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec6DLgJ96YFhdAPz,1dev-ai-coding-services/svc-cat02-09,svc-cat02-09,svc,SVC-CHILD,209,single-page application development,Single-Page Application Development,single-page-application-development,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reciBlNheM1YfNj9Y,1dev-ai-coding-services/svc-cat02-10,svc-cat02-10,svc,SVC-CHILD,210,server-side rendered web apps,Server-Side Rendered Web Apps,server-side-rendered-web-apps,approved,todo,INS-SVC-CHILD,yes,svc-cat02-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recD7QfLY0DxuSYI4,1dev-ai-coding-services/svc-cat03-hub,svc-cat03-hub,svc,SVC-HUB,300,mobile app development,Mobile App Development,mobile-app-development,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec42I9TLdPbPeOrf,1dev-ai-coding-services/svc-cat03-01,svc-cat03-01,svc,SVC-CHILD,301,ios app development,iOS App Development,ios-app-development,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recB7Kh91HR7P7AXE,1dev-ai-coding-services/svc-cat03-02,svc-cat03-02,svc,SVC-CHILD,302,android app development,Android App Development,android-app-development,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recv21ONz0Nig2Uwt,1dev-ai-coding-services/svc-cat03-03,svc-cat03-03,svc,SVC-CHILD,303,cross-platform mobile apps,Cross-Platform Mobile Apps,cross-platform-mobile-apps,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reccbNRlgACFFnbMO,1dev-ai-coding-services/svc-cat03-04,svc-cat03-04,svc,SVC-CHILD,304,mobile backend apis,Mobile Backend APIs,mobile-backend-apis,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recyB8qAaLKzJE26i,1dev-ai-coding-services/svc-cat03-05,svc-cat03-05,svc,SVC-CHILD,305,push notifications and messaging,Push Notifications and Messaging,push-notifications-and-messaging,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recuhvTedB94yyRVs,1dev-ai-coding-services/svc-cat03-06,svc-cat03-06,svc,SVC-CHILD,306,offline-capable mobile apps,Offline-Capable Mobile Apps,offline-capable-mobile-apps,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recqfyXysvwHWwlhs,1dev-ai-coding-services/svc-cat03-07,svc-cat03-07,svc,SVC-CHILD,307,mobile app ui implementation,Mobile App UI Implementation,mobile-app-ui-implementation,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recOHMhSTMQERrlKT,1dev-ai-coding-services/svc-cat03-08,svc-cat03-08,svc,SVC-CHILD,308,app store submission support,App Store Submission Support,app-store-submission-support,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recHTGQJCfZWTYKgU,1dev-ai-coding-services/svc-cat03-09,svc-cat03-09,svc,SVC-CHILD,309,mobile app rebuilds,Mobile App Rebuilds,mobile-app-rebuilds,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recqGJUoLmbY9ZOyJ,1dev-ai-coding-services/svc-cat03-10,svc-cat03-10,svc,SVC-CHILD,310,companion mobile apps,Companion Mobile Apps,companion-mobile-apps,approved,todo,INS-SVC-CHILD,yes,svc-cat03-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recNed4GLyGrDSYv8,1dev-ai-coding-services/svc-cat04-hub,svc-cat04-hub,svc,SVC-HUB,400,ai feature integration,AI Feature Integration,ai-feature-integration,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec2BYnxK0qJ8fvzk,1dev-ai-coding-services/svc-cat04-01,svc-cat04-01,svc,SVC-CHILD,401,llm features in existing apps,LLM Features in Existing Apps,llm-features-in-existing-apps,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recvdrdVffeiZTXIm,1dev-ai-coding-services/svc-cat04-02,svc-cat04-02,svc,SVC-CHILD,402,chat and assistant interfaces,Chat and Assistant Interfaces,chat-and-assistant-interfaces,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recM9Wb97K85tOnCb,1dev-ai-coding-services/svc-cat04-03,svc-cat04-03,svc,SVC-CHILD,403,document q&a features,Document Q&A Features,document-qa-features,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec5fEFAdh8EcfEvT,1dev-ai-coding-services/svc-cat04-04,svc-cat04-04,svc,SVC-CHILD,404,ai search and retrieval,AI Search and Retrieval,ai-search-and-retrieval,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recpX9KDaoYho15dp,1dev-ai-coding-services/svc-cat04-05,svc-cat04-05,svc,SVC-CHILD,405,prompt-to-action workflows,Prompt-to-Action Workflows,prompt-to-action-workflows,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recxAm4tZ4ZlQis0q,1dev-ai-coding-services/svc-cat04-06,svc-cat04-06,svc,SVC-CHILD,406,ai content generation features,AI Content Generation Features,ai-content-generation-features,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recXr7YhkBWRQ6qpV,1dev-ai-coding-services/svc-cat04-07,svc-cat04-07,svc,SVC-CHILD,407,recommendation features,Recommendation Features,recommendation-features,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rectyh2dlMnS0Yo1C,1dev-ai-coding-services/svc-cat04-08,svc-cat04-08,svc,SVC-CHILD,408,speech and transcription features,Speech and Transcription Features,speech-and-transcription-features,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec9L2pWkdqbmUUr7,1dev-ai-coding-services/svc-cat04-09,svc-cat04-09,svc,SVC-CHILD,409,guardrails and evals for ai features,Guardrails and Evals for AI Features,ai-feature-guardrails-and-evals,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reck9lRhoTIHw4eb2,1dev-ai-coding-services/svc-cat04-10,svc-cat04-10,svc,SVC-CHILD,410,human-in-the-loop ai features,Human-in-the-Loop AI Features,human-in-the-loop-ai-features,approved,todo,INS-SVC-CHILD,yes,svc-cat04-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recpOPCJ8xABC9QYd,1dev-ai-coding-services/svc-cat05-hub,svc-cat05-hub,svc,SVC-HUB,500,automation and workflows,Automation and Workflows,automation-and-workflows,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec9Oicua4djaKNiC,1dev-ai-coding-services/svc-cat05-01,svc-cat05-01,svc,SVC-CHILD,501,business process automation,Business Process Automation,business-process-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recy4UhrE19bZrAyk,1dev-ai-coding-services/svc-cat05-02,svc-cat05-02,svc,SVC-CHILD,502,scheduled job and batch automation,Scheduled Job and Batch Automation,scheduled-job-and-batch-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rectsO5KuitFvU01C,1dev-ai-coding-services/svc-cat05-03,svc-cat05-03,svc,SVC-CHILD,503,data sync automation,Data Sync Automation,data-sync-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recOkC5dtm14mYyoK,1dev-ai-coding-services/svc-cat05-04,svc-cat05-04,svc,SVC-CHILD,504,notification and alert workflows,Notification and Alert Workflows,notification-and-alert-workflows,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recT8KZ4BskDsCpO1,1dev-ai-coding-services/svc-cat05-05,svc-cat05-05,svc,SVC-CHILD,505,approval workflow automation,Approval Workflow Automation,approval-workflow-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recT5amAwBNFAoY1t,1dev-ai-coding-services/svc-cat05-06,svc-cat05-06,svc,SVC-CHILD,506,spreadsheet and form automation,Spreadsheet and Form Automation,spreadsheet-and-form-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recZnaKC9gdoIEYoa,1dev-ai-coding-services/svc-cat05-07,svc-cat05-07,svc,SVC-CHILD,507,ops runbook automation,Ops Runbook Automation,ops-runbook-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recENdmLqFuTcggR8,1dev-ai-coding-services/svc-cat05-08,svc-cat05-08,svc,SVC-CHILD,508,lead and crm automation,Lead and CRM Automation,lead-and-crm-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recf0IhqCIg0Kw9cg,1dev-ai-coding-services/svc-cat05-09,svc-cat05-09,svc,SVC-CHILD,509,invoice and billing automation,Invoice and Billing Automation,invoice-and-billing-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recoN4Us6SdIbBwtf,1dev-ai-coding-services/svc-cat05-10,svc-cat05-10,svc,SVC-CHILD,510,custom webhook automation,Custom Webhook Automation,custom-webhook-automation,approved,todo,INS-SVC-CHILD,yes,svc-cat05-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec92qazO1idHnnjm,1dev-ai-coding-services/svc-cat06-hub,svc-cat06-hub,svc,SVC-HUB,600,api and systems integration,API and Systems Integration,api-and-systems-integration,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recaUPLDlObCP3hBr,1dev-ai-coding-services/svc-cat06-01,svc-cat06-01,svc,SVC-CHILD,601,rest api development,REST API Development,rest-api-development,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rechP5oktwp6wELOn,1dev-ai-coding-services/svc-cat06-02,svc-cat06-02,svc,SVC-CHILD,602,third-party api integrations,Third-Party API Integrations,third-party-api-integrations,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recr8qtKSeynqnGBU,1dev-ai-coding-services/svc-cat06-03,svc-cat06-03,svc,SVC-CHILD,603,payment processor integrations,Payment Processor Integrations,payment-processor-integrations,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rect19wA39Zt87aI4,1dev-ai-coding-services/svc-cat06-04,svc-cat06-04,svc,SVC-CHILD,604,crm and erp integrations,CRM and ERP Integrations,crm-and-erp-integrations,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rect1XQnjVhR42Lbg,1dev-ai-coding-services/svc-cat06-05,svc-cat06-05,svc,SVC-CHILD,605,webhook and event pipelines,Webhook and Event Pipelines,webhook-and-event-pipelines,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
receMqsXhx7F7CRGE,1dev-ai-coding-services/svc-cat06-06,svc-cat06-06,svc,SVC-CHILD,606,sso and identity integrations,SSO and Identity Integrations,sso-and-identity-integrations,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec8MlKk5edcLaHZM,1dev-ai-coding-services/svc-cat06-07,svc-cat06-07,svc,SVC-CHILD,607,data warehouse connectors,Data Warehouse Connectors,data-warehouse-connectors,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recapbQylH5MMpyIG,1dev-ai-coding-services/svc-cat06-08,svc-cat06-08,svc,SVC-CHILD,608,file and storage integrations,File and Storage Integrations,file-and-storage-integrations,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recvoveR5SXtpLOOn,1dev-ai-coding-services/svc-cat06-09,svc-cat06-09,svc,SVC-CHILD,609,legacy system adapters,Legacy System Adapters,legacy-system-adapters,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recQ0fx6eDGZDreEl,1dev-ai-coding-services/svc-cat06-10,svc-cat06-10,svc,SVC-CHILD,610,api documentation and sdks,API Documentation and SDKs,api-documentation-and-sdks,approved,todo,INS-SVC-CHILD,yes,svc-cat06-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rect58szVj6xSLRQ4,1dev-ai-coding-services/svc-cat07-hub,svc-cat07-hub,svc,SVC-HUB,700,code review and rescue,Code Review and Rescue,code-review-and-rescue,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recO7oMdm1OXOITF1,1dev-ai-coding-services/svc-cat07-01,svc-cat07-01,svc,SVC-CHILD,701,independent code review,Independent Code Review,independent-code-review,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recPmVu31dBUU36zF,1dev-ai-coding-services/svc-cat07-02,svc-cat07-02,svc,SVC-CHILD,702,security-minded code review,Security-Minded Code Review,security-minded-code-review,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rechvkRxynwJCqbVp,1dev-ai-coding-services/svc-cat07-03,svc-cat07-03,svc,SVC-CHILD,703,performance bottleneck review,Performance Bottleneck Review,performance-bottleneck-review,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
reczXOnPNYYHsDaCp,1dev-ai-coding-services/svc-cat07-04,svc-cat07-04,svc,SVC-CHILD,704,abandoned project rescue,Abandoned Project Rescue,abandoned-project-rescue,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
rec2e34jVY5X9xJY9,1dev-ai-coding-services/svc-cat07-05,svc-cat07-05,svc,SVC-CHILD,705,technical debt assessment,Technical Debt Assessment,technical-debt-assessment,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recGKf0BHHhX7uQBq,1dev-ai-coding-services/svc-cat07-06,svc-cat07-06,svc,SVC-CHILD,706,hotfix and production firefighting,Hotfix and Production Firefighting,hotfix-and-production-firefighting,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recqiCBujlmJ5XseN,1dev-ai-coding-services/svc-cat07-07,svc-cat07-07,svc,SVC-CHILD,707,architecture recovery reviews,Architecture Recovery Reviews,architecture-recovery-reviews,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recIbyXpVGzN9f6uj,1dev-ai-coding-services/svc-cat07-08,svc-cat07-08,svc,SVC-CHILD,708,dependency and upgrade rescue,Dependency and Upgrade Rescue,dependency-and-upgrade-rescue,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recD7vr4lXnf9FIUE,1dev-ai-coding-services/svc-cat07-09,svc-cat07-09,svc,SVC-CHILD,709,test coverage rescue,Test Coverage Rescue,test-coverage-rescue,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recZqQutYGrbuuVWn,1dev-ai-coding-services/svc-cat07-10,svc-cat07-10,svc,SVC-CHILD,710,handoff documentation rescue,Handoff Documentation Rescue,handoff-documentation-rescue,approved,todo,INS-SVC-CHILD,yes,svc-cat07-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recoZE5M8AL9YCJuP,1dev-ai-coding-services/svc-cat08-hub,svc-cat08-hub,svc,SVC-HUB,800,mvp and startup builds,MVP and Startup Builds,mvp-and-startup-builds,approved,todo,INS-SVC-HUB,yes,,summary_plus_airtable_sections_labelled_draft,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recyXZpH2Q4IXYp1s,1dev-ai-coding-services/svc-cat08-01,svc-cat08-01,svc,SVC-CHILD,801,startup mvp development,Startup MVP Development,startup-mvp-development,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recJ9E1EFBAc2sAwr,1dev-ai-coding-services/svc-cat08-02,svc-cat08-02,svc,SVC-CHILD,802,clickable prototype to production,Clickable Prototype to Production,prototype-to-production,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
recr5pEELPlV4rbdl,1dev-ai-coding-services/svc-cat08-03,svc-cat08-03,svc,SVC-CHILD,803,founder-led product scoping,Founder-Led Product Scoping,founder-led-product-scoping,approved,todo,INS-SVC-CHILD,yes,svc-cat08-hub,summary_based_draft_full_compliance_unverified,url_slug_is_leaf_not_path|parent_inferred_from_slot_id_only
